schema_version,sample_id,source_group,sequence_id,split,action_code,dive_score,difficulty,start_frame,end_frame,macro_transition_1,macro_transition_2,fine_transition_count,fine_transitions,phase_label_count,phase_labels,judge_scores,execution_scores,synchronisation_scores,live_path,live_frames,live_first_frame,live_last_frame,replay1_path,replay1_frames,replay1_first_frame,replay1_last_frame,live_mask_path,live_mask_frames,live_mask_aligned,replay2_path,replay2_frames,replay2_available,mask_provenance,issues,replay1_mask_path,mask_role,replay1_mask_aligned
2.0,Synchro_001/0,Synchro_001,0,test,201b,54.0,2.0,18543,18654,42,77,2,"[42, 77]",112,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0]","[9.0, 9.0, 9.0]",rgb/live/Synchro_001/0,112,018543.jpg,018654.jpg,rgb/replay1/Synchro_001/0,426,018861.jpg,019286.jpg,masks/live/Synchro_001/0,112,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/0,151,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/0,predicted_input,True
2.0,Synchro_001/1,Synchro_001,1,test,301b,42.6,2.0,20622,20722,24,54,2,"[24, 54]",101,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.0, 7.0, 7.5, 7.0, 7.0]","[7.0, 7.0]","[7.5, 7.0, 7.0]",rgb/live/Synchro_001/1,101,020622.jpg,020722.jpg,rgb/replay1/Synchro_001/1,170,021040.jpg,021209.jpg,masks/live/Synchro_001/1,101,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/1,predicted_input,True
2.0,Synchro_001/2,Synchro_001,2,train,201b,48.0,2.0,22710,22826,44,79,2,"[44, 79]",117,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[8.0, 7.5, 8.0, 8.0, 8.5]","[8.0, 7.5]","[8.0, 8.0, 8.5]",rgb/live/Synchro_001/2,117,022710.jpg,022826.jpg,rgb/replay1/Synchro_001/2,130,023008.jpg,023137.jpg,masks/live/Synchro_001/2,117,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/2,169,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/2,predicted_input,True
2.0,Synchro_001/3,Synchro_001,3,validation,201b,46.8,2.0,24704,24809,41,73,2,"[41, 73]",106,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.5, 7.5, 8.0, 8.0, 8.0]","[7.5, 7.5]","[8.0, 8.0, 8.0]",rgb/live/Synchro_001/3,106,024704.jpg,024809.jpg,rgb/replay1/Synchro_001/3,122,025103.jpg,025224.jpg,masks/live/Synchro_001/3,106,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/3,predicted_input,True
2.0,Synchro_001/4,Synchro_001,4,test,101b,48.0,2.0,28001,28118,42,82,2,"[42, 82]",118,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[8.0, 8.0, 8.0, 8.0, 8.0]","[8.0, 8.0]","[8.0, 8.0, 8.0]",rgb/live/Synchro_001/4,118,028001.jpg,028118.jpg,rgb/replay1/Synchro_001/4,144,028386.jpg,028529.jpg,masks/live/Synchro_001/4,118,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/4,235,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/4,predicted_input,True
2.0,Synchro_001/5,Synchro_001,5,train,301b,46.2,2.0,29982,30096,46,84,2,"[46, 84]",115,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[8.0, 8.0, 7.5, 7.5, 7.5]","[8.0, 8.0]","[7.5, 7.5, 7.5]",rgb/live/Synchro_001/5,115,029982.jpg,030096.jpg,rgb/replay1/Synchro_001/5,175,030741.jpg,030915.jpg,masks/live/Synchro_001/5,115,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/5,predicted_input,True
2.0,Synchro_001/6,Synchro_001,6,train,5233d,45.6,2.0,32033,32148,41,79,3,"[41, 61, 79]",116,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.5, 7.5, 7.5, 8.0, 7.5]","[7.5, 7.5]","[7.5, 8.0, 7.5]",rgb/live/Synchro_001/6,116,032033.jpg,032148.jpg,rgb/replay1/Synchro_001/6,129,032383.jpg,032511.jpg,masks/live/Synchro_001/6,116,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/6,172,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/6,predicted_input,True
2.0,Synchro_001/7,Synchro_001,7,train,301b,46.8,2.0,33770,33894,42,79,2,"[42, 79]",125,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.5, 7.5, 8.0, 8.0, 8.0]","[7.5, 7.5]","[8.0, 8.0, 8.0]",rgb/live/Synchro_001/7,125,033770.jpg,033894.jpg,rgb/replay1/Synchro_001/7,185,034326.jpg,034510.jpg,masks/live/Synchro_001/7,125,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/7,187,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/7,predicted_input,True
2.0,Synchro_001/8,Synchro_001,8,train,401b,45.6,2.0,36049,36166,46,78,2,"[46, 78]",118,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[7.0, 7.0, 8.0, 8.0, 8.0]","[7.0, 7.0]","[8.0, 8.0, 8.0]",rgb/live/Synchro_001/8,118,036049.jpg,036166.jpg,rgb/replay1/Synchro_001/8,124,036402.jpg,036525.jpg,masks/live/Synchro_001/8,118,True,Trimmed_Diving_Video_Frames/TEMP_LIVE/Replay2/Synchro_001/8,157,True,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/8,predicted_input,True
2.0,Synchro_001/9,Synchro_001,9,test,205b,58.5,3.0,39352,39482,44,83,2,"[44, 83]",131,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]","[5.5, 7.0, 6.5, 7.0, 6.5]","[5.5, 7.0]","[6.5, 7.0, 6.5]",rgb/live/Synchro_001/9,131,039352.jpg,039482.jpg,rgb/replay1/Synchro_001/9,309,039772.jpg,040080.jpg,masks/live/Synchro_001/9,131,True,,0,False,unknown_existing_segmentation_output,[],masks/replay1/Synchro_001/9,predicted_input,True
